2022-04-02测试

1. PHCond复位重启如下，预计在最后20行左右，我复制了很多，请检查
[15:21:27.758]收←◆01 03 0C 44 0C ED 26 3A E8 84 C2 41 98 00 00 62 3E 
[17:09:29.043]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 02 23 3B 04 1F E5 41 C8 00 00 4E CF 
[17:09:29.263]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 02 23 3B 04 1F E5 41 C8 00 00 4E CF 
[17:09:29.481]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 8B 3B 04 20 BE 41 C8 00 00 10 00 
[17:09:29.701]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 00 8B 3B 04 20 BE 41 C8 00 00 10 00 
[17:09:30.007]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 05 3B 04 20 7D 41 C8 00 00 28 72 
[17:09:30.226]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 05 3B 04 20 7D 41 C8 00 00 28 72 
[17:09:30.446]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 01 05 3B 04 20 7D 41 C8 00 00 28 72 
[17:09:30.664]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 09 6E 3B 04 1C 02 41 C8 00 00 62 5C 
[17:09:30.885]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 09 6E 3B 04 1C 02 41 C8 00 00 62 5C 
[17:09:31.190]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 09 6E 3B 04 1C 02 41 C8 00 00 62 5C 
[17:09:31.410]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 B2 3B 04 1F 10 41 C8 00 00 32 89 
[17:09:31.628]收←◆01 03 00 00 00 06 C5 C8 01 03 0C 43 F8 03 B2 3B 04 1F 10 41 C8 00 00 32 89 

 
